invariants generated with modified swagger ,invariant generated with original swagger,TRUE/FALSE,invariant generated with original swagger,invariants_org_Swagger_updated_csv,TRUE/FALSE,,,,,,,,,,,
failed to get console mode for stdout: The handle is invalid.,failed to get console mode for stdout: The handle is invalid.,TRUE,failed to get console mode for stdout: The handle is invalid.,failed to get console mode for stdout: The handle is invalid.,TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.amount is Numeric;daikon.inv.unary.string.IsNumeric;(return.amount),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.amount is Numeric;daikon.inv.unary.string.IsNumeric;(return.amount),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.amount is Numeric;daikon.inv.unary.string.IsNumeric;(return.amount),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.amount is Numeric;daikon.inv.unary.string.IsNumeric;(return.amount),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;LENGTH(return.currency)==3;daikon.inv.unary.string.FixedLengthString;(return.currency),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;LENGTH(return.currency)==3;daikon.inv.unary.string.FixedLengthString;(return.currency),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;LENGTH(return.currency)==3;daikon.inv.unary.string.FixedLengthString;(return.currency),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;LENGTH(return.currency)==3;daikon.inv.unary.string.FixedLengthString;(return.currency),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;LENGTH(return.percentage)==5;daikon.inv.unary.string.FixedLengthString;(return.percentage),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;LENGTH(return.percentage)==5;daikon.inv.unary.string.FixedLengthString;(return.percentage),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;LENGTH(return.percentage)==5;daikon.inv.unary.string.FixedLengthString;(return.percentage),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;LENGTH(return.percentage)==5;daikon.inv.unary.string.FixedLengthString;(return.percentage),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.percentage is Numeric;daikon.inv.unary.string.IsNumeric;(return.percentage),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.percentage is Numeric;daikon.inv.unary.string.IsNumeric;(return.percentage),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.percentage is Numeric;daikon.inv.unary.string.IsNumeric;(return.percentage),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.percentage is Numeric;daikon.inv.unary.string.IsNumeric;(return.percentage),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.pricingFrequency one of { "PER_NIGHT",/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.pricingFrequency one of { "PER_NIGHT",TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.pricingFrequency one of { "PER_NIGHT",/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.pricingFrequency one of { "PER_NIGHT",TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.pricingMode one of { "PER_OCCUPANT",/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.pricingMode one of { "PER_OCCUPANT",TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.pricingMode one of { "PER_OCCUPANT",/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.pricingMode one of { "PER_OCCUPANT",TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.base == return.total;daikon.inv.binary.twoString.StringEqual;(return.base,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.total == return.base;daikon.inv.binary.twoString.StringEqual;(return.total,FALSE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.total == return.base;daikon.inv.binary.twoString.StringEqual;(return.total,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.total == return.base;daikon.inv.binary.twoString.StringEqual;(return.total,TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.base is Numeric;daikon.inv.unary.string.IsNumeric;(return.base),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.startDate is a Date. Format: YYYY/MM/DD;daikon.inv.unary.string.dates.IsDateYYYYMMDD;(return.startDate),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.startDate is a Date. Format: YYYY/MM/DD;daikon.inv.unary.string.dates.IsDateYYYYMMDD;(return.startDate),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.startDate is a Date. Format: YYYY/MM/DD;daikon.inv.unary.string.dates.IsDateYYYYMMDD;(return.startDate),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.endDate is a Date. Format: YYYY/MM/DD;daikon.inv.unary.string.dates.IsDateYYYYMMDD;(return.endDate),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.endDate is a Date. Format: YYYY/MM/DD;daikon.inv.unary.string.dates.IsDateYYYYMMDD;(return.endDate),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.endDate is a Date. Format: YYYY/MM/DD;daikon.inv.unary.string.dates.IsDateYYYYMMDD;(return.endDate),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.endDate is a Date. Format: YYYY/MM/DD;daikon.inv.unary.string.dates.IsDateYYYYMMDD;(return.endDate),TRUE,,,,,,,,,,,
