Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,testCaseId,queryParameters,operationId,path,httpMethod,headerParameters,pathParameters,formParameters,bodyParameter,statusCode,passed,failReason,responseBody
6114,1744,1744,test_urp31ap39a29_getMultiHotelOffers,boardType=ROOM_ONLY;checkOutDate=2022-09-23;hotelIds=SIOSA092%2CRCLAXRIR;adults=9;includeClosed=true;currency=UYU;countryOfResidence=GB;lang=ja-JP;checkInDate=2022-09-20;paymentPolicy=NONE;bestRateOnly=false;,getMultiHotelOffers,/shopping/hotel-offers,GET,Authorization=Bearer+1YfxPgNSa7eLb32p8H9usCrd1Dt5;,,,,200,True,none,"{""data"":[{""type"":""hotel-offers"",""hotel"":{""type"":""hotel"",""hotelId"":""RCLAXRIR"",""chainCode"":""RC"",""name"":""Residence Inn by Marriott Los Angeles L.A. LIVE"",""cityCode"":""LAX"",""latitude"":34.04576,""longitude"":-118.26591},""available"":false,""self"":""https://test.api.amadeus.com/v3/shopping/hotel-offers?hotelIds=RCLAXRIR&adults=9&boardType=ROOM_ONLY&checkInDate=2022-09-20&checkOutDate=2022-09-23&countryOfResidence=GB&currency=UYU&lang=ja-JP&paymentPolicy=NONE""},{""type"":""hotel-offers"",""hotel"":{""type"":""hotel"",""hotelId"":""SIOSA092"",""chainCode"":""SI"",""name"":""Sheraton Miyako Hotel Osaka"",""cityCode"":""OSA"",""latitude"":34.66583,""longitude"":135.52035},""available"":false,""self"":""https://test.api.amadeus.com/v3/shopping/hotel-offers?hotelIds=SIOSA092&adults=9&boardType=ROOM_ONLY&checkInDate=2022-09-20&checkOutDate=2022-09-23&countryOfResidence=GB&currency=UYU&lang=ja-JP&paymentPolicy=NONE""}]}"
5179,616,616,test_1hrmj7xelsny1_getMultiHotelOffers,boardType=ROOM_ONLY;hotelIds=HSVCEAHJ;roomQuantity=2;adults=3;countryOfResidence=BR;checkInDate=2022-09-22;bestRateOnly=true;checkOutDate=2022-09-26;includeClosed=true;currency=ZWL;lang=hu;priceRange=0-100000;paymentPolicy=NONE;,getMultiHotelOffers,/shopping/hotel-offers,GET,Authorization=Bearer+UuLCBypTX4uGgh7wolsdhHu69DmX;,,,,200,True,none,"{""data"":[{""type"":""hotel-offers"",""hotel"":{""type"":""hotel"",""hotelId"":""HSVCEAHJ"",""chainCode"":""HS"",""name"":""La Pergola di Venezia"",""cityCode"":""VCE"",""latitude"":45.41662,""longitude"":12.37481},""available"":false,""self"":""https://test.api.amadeus.com/v3/shopping/hotel-offers?hotelIds=HSVCEAHJ&adults=3&boardType=ROOM_ONLY&checkInDate=2022-09-22&checkOutDate=2022-09-26&countryOfResidence=BR&currency=ZWL&lang=hu&paymentPolicy=NONE&roomQuantity=2""}]}"
7647,159,159,test_1iyc5tyztejar_getMultiHotelOffers,boardType=BREAKFAST;checkOutDate=2022-09-30;hotelIds=GIFLR424;roomQuantity=3;adults=6;includeClosed=true;currency=RUB;countryOfResidence=GB;lang=it;checkInDate=2022-09-22;paymentPolicy=NONE;bestRateOnly=true;,getMultiHotelOffers,/shopping/hotel-offers,GET,Authorization=Bearer+dQq8Gev1GVVqiQmYJg35P3K1AIpo;,,,,200,True,none,"{""data"":[{""type"":""hotel-offers"",""hotel"":{""type"":""hotel"",""hotelId"":""GIFLR424"",""chainCode"":""GI"",""name"":""HILTON GRDN INN FLORENCE NOVOLI"",""cityCode"":""FLR"",""latitude"":43.79179,""longitude"":11.22821},""available"":false,""self"":""https://test.api.amadeus.com/v3/shopping/hotel-offers?hotelIds=GIFLR424&adults=6&boardType=BREAKFAST&checkInDate=2022-09-22&checkOutDate=2022-09-30&countryOfResidence=GB&currency=RUB&lang=it&paymentPolicy=NONE&roomQuantity=3""}]}"
7663,1011,1011,test_sl9hvzifvlnm_getMultiHotelOffers,boardType=BREAKFAST;checkOutDate=2022-09-29;hotelIds=SBBERGEN%2CWVSYDOAK;adults=7;includeClosed=true;currency=ZWL;countryOfResidence=MX;lang=ja-JP;checkInDate=2022-09-21;priceRange=100-1000;bestRateOnly=true;,getMultiHotelOffers,/shopping/hotel-offers,GET,Authorization=Bearer+BwCdbcYPrjUmS0aGxi9HbkSrzx5G;,,,,200,True,none,"{""data"":[{""type"":""hotel-offers"",""hotel"":{""type"":""hotel"",""hotelId"":""SBBERGEN"",""chainCode"":""SB"",""name"":""Sofitel Berlin Gendarmenmarkt"",""cityCode"":""BER"",""latitude"":52.51465,""longitude"":13.39096},""available"":false,""self"":""https://test.api.amadeus.com/v3/shopping/hotel-offers?hotelIds=SBBERGEN&adults=7&boardType=BREAKFAST&checkInDate=2022-09-21&checkOutDate=2022-09-29&countryOfResidence=MX&currency=ZWL&lang=ja-JP""},{""type"":""hotel-offers"",""hotel"":{""type"":""hotel"",""hotelId"":""WVSYDOAK"",""chainCode"":""WV"",""name"":""SEASONS HARBOUR PLAZA - SYDNEY"",""cityCode"":""SYD"",""latitude"":-33.86542,""longitude"":151.20323},""available"":false,""self"":""https://test.api.amadeus.com/v3/shopping/hotel-offers?hotelIds=WVSYDOAK&adults=7&boardType=BREAKFAST&checkInDate=2022-09-21&checkOutDate=2022-09-29&countryOfResidence=MX&currency=ZWL&lang=ja-JP""}]}"
6805,135,135,test_toixa2havgah_getMultiHotelOffers,boardType=BREAKFAST;checkOutDate=2022-09-25;hotelIds=MDMUCMER%2CXRWAS193%2CLMAKL880;roomQuantity=6;adults=1;includeClosed=true;currency=UYU;countryOfResidence=NZ;lang=es;checkInDate=2022-09-22;priceRange=100;bestRateOnly=false;,getMultiHotelOffers,/shopping/hotel-offers,GET,Authorization=Bearer+dQq8Gev1GVVqiQmYJg35P3K1AIpo;,,,,200,True,none,"{""data"":[{""type"":""hotel-offers"",""hotel"":{""type"":""hotel"",""hotelId"":""LMAKL880"",""chainCode"":""LM"",""name"":""WALDORF ST MARTINS APARTMENT HOTEL"",""cityCode"":""AKL"",""latitude"":-36.85767,""longitude"":174.7643},""available"":false,""self"":""https://test.api.amadeus.com/v3/shopping/hotel-offers?hotelIds=LMAKL880&adults=1&boardType=BREAKFAST&checkInDate=2022-09-22&checkOutDate=2022-09-25&countryOfResidence=NZ&currency=UYU&lang=es&roomQuantity=6""}]}"
8650,1123,1123,test_to2b3d34helt_getMultiHotelOffers,boardType=ROOM_ONLY;checkOutDate=2022-09-30;hotelIds=WVMUC371;roomQuantity=1;adults=7;includeClosed=true;currency=HUF;countryOfResidence=AU;lang=de-DE;checkInDate=2022-09-21;bestRateOnly=false;,getMultiHotelOffers,/shopping/hotel-offers,GET,Authorization=Bearer+BGkOzfHxuBXf7PGGi9ysLFJtaNjv;,,,,200,True,none,"{""data"":[{""type"":""hotel-offers"",""hotel"":{""type"":""hotel"",""hotelId"":""WVMUC371"",""chainCode"":""WV"",""name"":""RELEXA HOTEL MUNCHEN"",""cityCode"":""MUC"",""latitude"":48.13763,""longitude"":11.55564},""available"":false,""self"":""https://test.api.amadeus.com/v3/shopping/hotel-offers?hotelIds=WVMUC371&adults=7&boardType=ROOM_ONLY&checkInDate=2022-09-21&checkOutDate=2022-09-30&countryOfResidence=AU&currency=HUF&lang=de-DE&roomQuantity=1""}]}"
2067,1828,1828,test_toiyuawgg75d_getMultiHotelOffers,boardType=ROOM_ONLY;checkOutDate=2022-09-27;hotelIds=RTAKLIEL%2CWVBCNEMA%2CHYSFOHUQ%2CHXPHL130;adults=1;includeClosed=true;currency=USD;countryOfResidence=AR;checkInDate=2022-09-21;paymentPolicy=NONE;bestRateOnly=true;,getMultiHotelOffers,/shopping/hotel-offers,GET,Authorization=Bearer+TiJlaVG7jadjlx3e5Gs9YhqFVoNb;,,,,200,True,none,"{""data"":[{""type"":""hotel-offers"",""hotel"":{""type"":""hotel"",""hotelId"":""HYSFOHUQ"",""chainCode"":""HY"",""dupeId"":""700015779"",""name"":""Grand Hyatt San Francisco"",""cityCode"":""SFO"",""latitude"":37.78891,""longitude"":-122.40718},""available"":true,""offers"":[{""id"":""1DWEQFPXNF"",""checkInDate"":""2022-09-21"",""checkOutDate"":""2022-09-27"",""rateCode"":""***"",""rateFamilyEstimated"":{""code"":""RAC"",""type"":""P""},""commission"":{""percentage"":""10""},""room"":{""type"":""V1K"",""typeEstimated"":{""category"":""STANDARD_ROOM"",""beds"":1,""bedType"":""KING""},""description"":{""text"":""Standard Rate 1 King City View\nCITY VIEWS: GRAND BED 1 KING: LOCATED ON"",""lang"":""EN""}},""guests"":{""adults"":1},""price"":{""currency"":""USD"",""base"":""2904.00"",""total"":""3583.82"",""taxes"":[{""code"":""TOTAL_TAX"",""amount"":""679.82"",""currency"":""USD"",""included"":false}],""variations"":{""average"":{""base"":""484.00""},""changes"":[{""startDate"":""2022-09-21"",""endDate"":""2022-09-27"",""base"":""484.00""}]}},""policies"":{""paymentType"":""guarantee"",""cancellation"":{""deadline"":""2022-09-20T23:59:00-07:00""}},""self"":""https://test.api.amadeus.com/v3/shopping/hotel-offers/1DWEQFPXNF""}],""self"":""https://test.api.amadeus.com/v3/shopping/hotel-offers?hotelIds=HYSFOHUQ&adults=1&boardType=ROOM_ONLY&checkInDate=2022-09-21&checkOutDate=2022-09-27&countryOfResidence=AR&currency=USD&paymentPolicy=NONE""},{""type"":""hotel-offers"",""hotel"":{""type"":""hotel"",""hotelId"":""RTAKLIEL"",""chainCode"":""RT"",""name"":""ibis Auckland Ellerslie"",""cityCode"":""AKL"",""latitude"":-36.88893,""longitude"":174.79889},""available"":false,""self"":""https://test.api.amadeus.com/v3/shopping/hotel-offers?hotelIds=RTAKLIEL&adults=1&boardType=ROOM_ONLY&checkInDate=2022-09-21&checkOutDate=2022-09-27&countryOfResidence=AR&currency=USD&paymentPolicy=NONE""},{""type"":""hotel-offers"",""hotel"":{""type"":""hotel"",""hotelId"":""WVBCNEMA"",""chainCode"":""WV"",""name"":""ROOM MATE EMMA"",""cityCode"":""BCN"",""latitude"":41.39273,""longitude"":2.1564},""available"":false,""self"":""https://test.api.amadeus.com/v3/shopping/hotel-offers?hotelIds=WVBCNEMA&adults=1&boardType=ROOM_ONLY&checkInDate=2022-09-21&checkOutDate=2022-09-27&countryOfResidence=AR&currency=USD&paymentPolicy=NONE""}]}"
3851,293,293,test_s10kq7hbu4it_getMultiHotelOffers,boardType=BREAKFAST;checkOutDate=2022-09-28;hotelIds=SBROMPLM%2CBWROM024;roomQuantity=3;adults=9;includeClosed=true;currency=EUR;countryOfResidence=AE;checkInDate=2022-09-22;paymentPolicy=NONE;bestRateOnly=true;,getMultiHotelOffers,/shopping/hotel-offers,GET,Authorization=Bearer+oopYUR21xA9L6R9bt4PXxyWHZjet;,,,,200,True,none,"{""data"":[{""type"":""hotel-offers"",""hotel"":{""type"":""hotel"",""hotelId"":""BWROM024"",""chainCode"":""BW"",""name"":""Best Western Plus Hotel Universo"",""cityCode"":""ROM"",""latitude"":41.8943,""longitude"":12.50774},""available"":false,""self"":""https://test.api.amadeus.com/v3/shopping/hotel-offers?hotelIds=BWROM024&adults=9&boardType=BREAKFAST&checkInDate=2022-09-22&checkOutDate=2022-09-28&countryOfResidence=AE&currency=EUR&paymentPolicy=NONE&roomQuantity=3""},{""type"":""hotel-offers"",""hotel"":{""type"":""hotel"",""hotelId"":""SBROMPLM"",""chainCode"":""SB"",""name"":""Sofitel Rome Villa Borghese"",""cityCode"":""ROM"",""latitude"":41.90752,""longitude"":12.48652},""available"":false,""self"":""https://test.api.amadeus.com/v3/shopping/hotel-offers?hotelIds=SBROMPLM&adults=9&boardType=BREAKFAST&checkInDate=2022-09-22&checkOutDate=2022-09-28&countryOfResidence=AE&currency=EUR&paymentPolicy=NONE&roomQuantity=3""}]}"
2636,1540,1540,test_1hbirmvkzi5wi_getMultiHotelOffers,boardType=ROOM_ONLY;checkOutDate=2022-09-27;hotelIds=WIOSAOSA%2CRTLCYIBI;adults=3;includeClosed=true;currency=BRL;countryOfResidence=GB;checkInDate=2022-09-22;priceRange=15-10000;bestRateOnly=true;,getMultiHotelOffers,/shopping/hotel-offers,GET,Authorization=Bearer+3r7bZn6hMuKD3P6tkKyGx3OUsZ0A;,,,,200,True,none,"{""data"":[{""type"":""hotel-offers"",""hotel"":{""type"":""hotel"",""hotelId"":""RTLCYIBI"",""chainCode"":""RT"",""name"":""ibis London Barking"",""cityCode"":""LCY"",""latitude"":51.53376,""longitude"":0.07173},""available"":false,""self"":""https://test.api.amadeus.com/v3/shopping/hotel-offers?hotelIds=RTLCYIBI&adults=3&boardType=ROOM_ONLY&checkInDate=2022-09-22&checkOutDate=2022-09-27&countryOfResidence=GB&currency=BRL""},{""type"":""hotel-offers"",""hotel"":{""type"":""hotel"",""hotelId"":""WIOSAOSA"",""chainCode"":""WI"",""dupeId"":""700077383"",""name"":""The Westin Osaka"",""cityCode"":""OSA"",""latitude"":34.70456,""longitude"":135.48937},""available"":true,""offers"":[{""id"":""SE3E3W5J18"",""checkInDate"":""2022-09-22"",""checkOutDate"":""2022-09-27"",""rateCode"":""RAC"",""rateFamilyEstimated"":{""code"":""PRO"",""type"":""P""},""room"":{""type"":""SE3"",""typeEstimated"":{""category"":""SUPERIOR_ROOM"",""beds"":1,""bedType"":""KING""},""description"":{""text"":""Limited Time Offer - Bed and Breakfast, includes breakfast\nSuperior King Bed, Floors 24-32, 43sqm, 1 King,\n 43sqm/463sqft, Wireless internet, complimentar"",""lang"":""EN""}},""guests"":{""adults"":3},""price"":{""currency"":""JPY"",""base"":""289800"",""total"":""434347"",""variations"":{""average"":{""base"":""57960""},""changes"":[{""startDate"":""2022-09-22"",""endDate"":""2022-09-23"",""base"":""54000""},{""startDate"":""2022-09-23"",""endDate"":""2022-09-25"",""base"":""66600""},{""startDate"":""2022-09-25"",""endDate"":""2022-09-26"",""base"":""52200""},{""startDate"":""2022-09-26"",""endDate"":""2022-09-27"",""base"":""50400""}]}},""policies"":{""paymentType"":""deposit"",""cancellation"":{""description"":{""text"":""NON-REFUNDABLE RATE""},""type"":""FULL_STAY""}},""self"":""https://test.api.amadeus.com/v3/shopping/hotel-offers/SE3E3W5J18""}],""self"":""https://test.api.amadeus.com/v3/shopping/hotel-offers?hotelIds=WIOSAOSA&adults=3&boardType=ROOM_ONLY&checkInDate=2022-09-22&checkOutDate=2022-09-27&countryOfResidence=GB&currency=BRL""}],""dictionaries"":{""currencyConversionLookupRates"":{""JPY"":{""rate"":""0.03602711"",""target"":""BRL"",""targetDecimalPlaces"":2}}}}"
3057,1886,1886,test_vf0y8htt61x3_getMultiHotelOffers,boardType=ROOM_ONLY;checkOutDate=2022-09-27;hotelIds=WVSYD007;roomQuantity=1;adults=3;includeClosed=true;currency=CHF;countryOfResidence=CL;checkInDate=2022-09-20;priceRange=15-10000;bestRateOnly=true;,getMultiHotelOffers,/shopping/hotel-offers,GET,Authorization=Bearer+MmAt9iqxZH8BqNFZyrydXd0yXT5h;,,,,200,True,none,"{""data"":[{""type"":""hotel-offers"",""hotel"":{""type"":""hotel"",""hotelId"":""WVSYD007"",""chainCode"":""WV"",""name"":""AMORA HOTEL JAMISON SYDNEY"",""cityCode"":""SYD"",""latitude"":-33.86434,""longitude"":151.20697},""available"":false,""self"":""https://test.api.amadeus.com/v3/shopping/hotel-offers?hotelIds=WVSYD007&adults=3&boardType=ROOM_ONLY&checkInDate=2022-09-20&checkOutDate=2022-09-27&countryOfResidence=CL&currency=CHF&roomQuantity=1""}]}"
