testCaseId,queryParameters,operationId,path,httpMethod,headerParameters,pathParameters,formParameters,bodyParameter,statusCode,responseBody
0,apikey=b2e7529f&t=Jurassic World,searchByIdOrTitle,/,GET,,t=Jurassic World,,,200,"{""Title"": ""Jurassic World"", ""Year"": ""2015"", ""Rated"": ""PG-13"", ""Released"": ""12 Jun 2015"", ""Runtime"": ""124 min"", ""Genre"": ""Action, Adventure, Sci-Fi"", ""Director"": ""Colin Trevorrow"", ""Writer"": ""Rick Jaffa, Amanda Silver, Colin Trevorrow"", ""Actors"": ""Chris Pratt, Bryce Dallas Howard, Ty Simpkins"", ""Plot"": ""A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree."", ""Language"": ""English"", ""Country"": ""United States, Canada"", ""Awards"": ""15 wins & 58 nominations"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BNzQ3OTY4NjAtNzM5OS00N2ZhLWJlOWUtYzYwZjNmOWRiMzcyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""6.9/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""71%""}, {""Source"": ""Metacritic"", ""Value"": ""59/100""}], ""Metascore"": ""59"", ""imdbRating"": ""6.9"", ""imdbVotes"": ""674,299"", ""imdbID"": ""tt0369610"", ""Type"": ""movie"", ""DVD"": ""06 Sep 2016"", ""BoxOffice"": ""$653,406,625"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}"
1,apikey=b2e7529f&t=Mad Max: Fury Road,searchByIdOrTitle,/,GET,,t=Mad Max: Fury Road,,,200,"{""Title"": ""Mad Max: Fury Road"", ""Year"": ""2015"", ""Rated"": ""R"", ""Released"": ""15 May 2015"", ""Runtime"": ""120 min"", ""Genre"": ""Action, Adventure, Sci-Fi"", ""Director"": ""George Miller"", ""Writer"": ""George Miller, Brendan McCarthy, Nick Lathouris"", ""Actors"": ""Tom Hardy, Charlize Theron, Nicholas Hoult"", ""Plot"": ""In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max."", ""Language"": ""English, Russian"", ""Country"": ""Australia"", ""Awards"": ""Won 6 Oscars. 245 wins & 233 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BN2EwM2I5OWMtMGQyMi00Zjg1LWJkNTctZTdjYTA4OGUwZjMyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""8.1/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""97%""}, {""Source"": ""Metacritic"", ""Value"": ""90/100""}], ""Metascore"": ""90"", ""imdbRating"": ""8.1"", ""imdbVotes"": ""1,072,041"", ""imdbID"": ""tt1392190"", ""Type"": ""movie"", ""DVD"": ""10 Aug 2016"", ""BoxOffice"": ""$154,280,290"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}"
2,apikey=b2e7529f&t=Insurgent,searchByIdOrTitle,/,GET,,t=Insurgent,,,200,"{""Title"": ""The Divergent Series: Insurgent"", ""Year"": ""2015"", ""Rated"": ""PG-13"", ""Released"": ""20 Mar 2015"", ""Runtime"": ""119 min"", ""Genre"": ""Action, Adventure, Sci-Fi"", ""Director"": ""Robert Schwentke"", ""Writer"": ""Brian Duffield, Akiva Goldsman, Mark Bomback"", ""Actors"": ""Shailene Woodley, Ansel Elgort, Theo James"", ""Plot"": ""Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side."", ""Language"": ""English"", ""Country"": ""United States, Canada"", ""Awards"": ""4 wins & 18 nominations"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BMTgxOTYxMTg3OF5BMl5BanBnXkFtZTgwMDgyMzA2NDE@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""6.2/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""28%""}, {""Source"": ""Metacritic"", ""Value"": ""42/100""}], ""Metascore"": ""42"", ""imdbRating"": ""6.2"", ""imdbVotes"": ""252,695"", ""imdbID"": ""tt2908446"", ""Type"": ""movie"", ""DVD"": ""27 Aug 2016"", ""BoxOffice"": ""$130,179,072"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}"
3,apikey=b2e7529f&t=Star Wars: The Force Awakens,searchByIdOrTitle,/,GET,,t=Star Wars: The Force Awakens,,,200,"{""Title"": ""RiffTrax: Star Wars: The Force Awakens"", ""Year"": ""2016"", ""Rated"": ""N/A"", ""Released"": ""25 Apr 2016"", ""Runtime"": ""N/A"", ""Genre"": ""Comedy"", ""Director"": ""N/A"", ""Writer"": ""Conor Lastowka, Michael J. Nelson, Sean Thomason"", ""Actors"": ""Bill Corbett, Kevin Murphy, Michael J. Nelson"", ""Plot"": ""Scavenger girl Rey leaves her junkyard home to fulfill her destiny of escorting a robot around the galaxy. Mike Nelson, Bill Corbett, and Kevin Murphy are here to see if there's more to the story in this humorous commentary."", ""Language"": ""English"", ""Country"": ""United States"", ""Awards"": ""N/A"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BOTI1OTQ3N2YtNmY5YS00OWJkLWIzZGYtNWFiMjlhNTBlMTlmXkEyXkFqcGdeQXVyODk1MTg5MDU@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""2.8/10""}], ""Metascore"": ""N/A"", ""imdbRating"": ""2.8"", ""imdbVotes"": ""28"", ""imdbID"": ""tt10321138"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""N/A"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}"
4,apikey=b2e7529f&t=Furious 7,searchByIdOrTitle,/,GET,,t=Furious 7,,,200,"{""Title"": ""Furious 7"", ""Year"": ""2015"", ""Rated"": ""PG-13"", ""Released"": ""03 Apr 2015"", ""Runtime"": ""137 min"", ""Genre"": ""Action, Crime, Thriller"", ""Director"": ""James Wan"", ""Writer"": ""Chris Morgan, Gary Scott Thompson"", ""Actors"": ""Vin Diesel, Paul Walker, Dwayne Johnson"", ""Plot"": ""Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother."", ""Language"": ""English, Thai, Arabic, Spanish"", ""Country"": ""United States, China, Japan, Canada, United Arab Emirates"", ""Awards"": ""37 wins & 37 nominations"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BMTQxOTA2NDUzOV5BMl5BanBnXkFtZTgwNzY2MTMxMzE@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""7.1/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""81%""}, {""Source"": ""Metacritic"", ""Value"": ""67/100""}], ""Metascore"": ""67"", ""imdbRating"": ""7.1"", ""imdbVotes"": ""413,046"", ""imdbID"": ""tt2820852"", ""Type"": ""movie"", ""DVD"": ""01 Mar 2016"", ""BoxOffice"": ""$353,007,020"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}"
5,apikey=b2e7529f&t=The Revenant,searchByIdOrTitle,/,GET,,t=The Revenant,,,200,"{""Title"": ""The Revenant"", ""Year"": ""2015"", ""Rated"": ""R"", ""Released"": ""08 Jan 2016"", ""Runtime"": ""156 min"", ""Genre"": ""Action, Adventure, Drama"", ""Director"": ""Alejandro G. I\u00f1\u00e1rritu"", ""Writer"": ""Mark L. Smith, Alejandro G. I\u00f1\u00e1rritu, Michael Punke"", ""Actors"": ""Leonardo DiCaprio, Tom Hardy, Will Poulter"", ""Plot"": ""A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team."", ""Language"": ""English, Pawnee, French"", ""Country"": ""Hong Kong, Taiwan, United States"", ""Awards"": ""Won 3 Oscars. 92 wins & 193 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BMDE5OWMzM2QtOTU2ZS00NzAyLWI2MDEtOTRlYjIxZGM0OWRjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""8.0/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""78%""}, {""Source"": ""Metacritic"", ""Value"": ""76/100""}], ""Metascore"": ""76"", ""imdbRating"": ""8.0"", ""imdbVotes"": ""868,037"", ""imdbID"": ""tt1663202"", ""Type"": ""movie"", ""DVD"": ""22 Mar 2016"", ""BoxOffice"": ""$183,637,894"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}"
6,apikey=b2e7529f&t=Terminator Genisys,searchByIdOrTitle,/,GET,,t=Terminator Genisys,,,200,"{""Title"": ""Terminator Genisys"", ""Year"": ""2015"", ""Rated"": ""PG-13"", ""Released"": ""01 Jul 2015"", ""Runtime"": ""126 min"", ""Genre"": ""Action, Adventure, Sci-Fi"", ""Director"": ""Alan Taylor"", ""Writer"": ""Laeta Kalogridis, Patrick Lussier, James Cameron"", ""Actors"": ""Arnold Schwarzenegger, Jason Clarke, Emilia Clarke"", ""Plot"": ""When John Connor, leader of the human resistance, sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future, an unexpected turn of events creates a fractured timeline."", ""Language"": ""English, Ukrainian"", ""Country"": ""United States, Canada"", ""Awards"": ""10 nominations"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BMjM1NTc0NzE4OF5BMl5BanBnXkFtZTgwNDkyNjQ1NTE@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""6.3/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""26%""}, {""Source"": ""Metacritic"", ""Value"": ""38/100""}], ""Metascore"": ""38"", ""imdbRating"": ""6.3"", ""imdbVotes"": ""291,532"", ""imdbID"": ""tt1340138"", ""Type"": ""movie"", ""DVD"": ""07 Jun 2016"", ""BoxOffice"": ""$89,760,956"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}"
7,apikey=b2e7529f&t=The Martian,searchByIdOrTitle,/,GET,,t=The Martian,,,200,"{""Title"": ""The Martian"", ""Year"": ""2015"", ""Rated"": ""PG-13"", ""Released"": ""02 Oct 2015"", ""Runtime"": ""144 min"", ""Genre"": ""Adventure, Drama, Sci-Fi"", ""Director"": ""Ridley Scott"", ""Writer"": ""Drew Goddard, Andy Weir"", ""Actors"": ""Matt Damon, Jessica Chastain, Kristen Wiig"", ""Plot"": ""An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue."", ""Language"": ""English, Mandarin"", ""Country"": ""United States, United Kingdom, Hungary, Jordan"", ""Awards"": ""Nominated for 7 Oscars. 40 wins & 199 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BMTc2MTQ3MDA1Nl5BMl5BanBnXkFtZTgwODA3OTI4NjE@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""8.0/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""91%""}, {""Source"": ""Metacritic"", ""Value"": ""80/100""}], ""Metascore"": ""80"", ""imdbRating"": ""8.0"", ""imdbVotes"": ""912,633"", ""imdbID"": ""tt3659388"", ""Type"": ""movie"", ""DVD"": ""22 Dec 2015"", ""BoxOffice"": ""$228,433,663"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}"
8,apikey=b2e7529f&t=Minions,searchByIdOrTitle,/,GET,,t=Minions,,,200,"{""Title"": ""Minions"", ""Year"": ""2015"", ""Rated"": ""PG"", ""Released"": ""10 Jul 2015"", ""Runtime"": ""91 min"", ""Genre"": ""Animation, Adventure, Comedy"", ""Director"": ""Kyle Balda, Pierre Coffin"", ""Writer"": ""Brian Lynch"", ""Actors"": ""Sandra Bullock, Jon Hamm, Michael Keaton"", ""Plot"": ""Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world."", ""Language"": ""English, Russian, Spanish, Italian"", ""Country"": ""United States, France"", ""Awards"": ""Nominated for 1 BAFTA Award4 wins & 29 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BMTUwNjcxNzAwOF5BMl5BanBnXkFtZTgwNzEzMzIzNDE@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""6.4/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""56%""}, {""Source"": ""Metacritic"", ""Value"": ""56/100""}], ""Metascore"": ""56"", ""imdbRating"": ""6.4"", ""imdbVotes"": ""256,368"", ""imdbID"": ""tt2293640"", ""Type"": ""movie"", ""DVD"": ""10 Aug 2016"", ""BoxOffice"": ""$336,045,770"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}"
9,apikey=b2e7529f&t=Inside Out,searchByIdOrTitle,/,GET,,t=Inside Out,,,200,"{""Title"": ""Inside Out"", ""Year"": ""2015"", ""Rated"": ""PG"", ""Released"": ""19 Jun 2015"", ""Runtime"": ""95 min"", ""Genre"": ""Animation, Adventure, Comedy"", ""Director"": ""Pete Docter, Ronnie Del Carmen"", ""Writer"": ""Pete Docter, Ronnie Del Carmen, Meg LeFauve"", ""Actors"": ""Amy Poehler, Bill Hader, Lewis Black"", ""Plot"": ""After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."", ""Language"": ""English, Portuguese, Latvian, Russian, Ukrainian"", ""Country"": ""United States, Japan"", ""Awards"": ""Won 1 Oscar. 99 wins & 118 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""8.1/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""98%""}, {""Source"": ""Metacritic"", ""Value"": ""94/100""}], ""Metascore"": ""94"", ""imdbRating"": ""8.1"", ""imdbVotes"": ""774,223"", ""imdbID"": ""tt2096673"", ""Type"": ""movie"", ""DVD"": ""03 Nov 2015"", ""BoxOffice"": ""$356,921,711"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}"
